@relation /mhome/zuberif/Datasets/-10011/svmguide1.libsvm

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute class numeric

@data
{0 26.173,1 58.867,2 -0.18947,3 125.1225,4 1}
{0 57.07397,1 221.404,2 0.08608,3 122.9114,4 1}
{0 17.259,1 173.436,2 -0.129805,3 125.0318,4 1}
{0 21.7794,1 124.9531,2 0.153885,3 152.715,4 1}
{0 91.33997,1 293.5699,2 0.142392,3 160.5402,4 1}
{0 55.375,1 179.222,2 0.165495,3 111.2273,4 1}
{0 29.562,1 191.357,2 0.099014,3 103.4076,4 1}
{0 145.12,1 208.86,2 -0.176086,3 154.2257,4 1}
{0 38.49699,1 41.466,2 -0.188642,3 123.9661,4 1}
{0 29.27699,1 107.251,2 0.114963,3 107.7885,4 1}
{0 28.867,1 109.024,2 -0.123943,3 97.9913,4 1}
{0 24.013,1 76.02,2 0.285099,3 98.91692,4 1}
{0 28.379,1 145.216,2 0.387001,3 154.9975,4 1}
{0 22.3814,1 82.4281,2 -0.281487,3 89.98764,4 1}
{0 123.21,1 456.16,2 -0.151847,3 143.2996,4 1}
{0 20.08405,1 177.451,2 0.25781,3 92.53101,4 1}
{0 32.85699,1 182.675,2 0.220441,3 94.57175,4 1}
{1 115.478,2 0.150497,3 109.6315,4 1}
{0 39.54504,1 237.442,2 0.108943,3 137.6333,4 1}
{0 106.798,1 323.756,2 -0.150951,3 175.4021,4 1}
{0 34.082,1 119.828,2 0.220016,3 138.3639,4 1}
{1 86.7108,2 0.420188,3 129.8851,4 1}
{0 48.65997,1 307.15,2 0.175607,3 164.0174,4 1}
{0 23.4109,1 83.4714,2 0.176687,3 98.0325,4 1}
{0 122.239,1 435.793,2 -0.181291,3 168.7663,4 1}
{0 16.2456,1 48.3062,2 0.550861,3 26.32639,4 1}
{0 43.89899,1 242.13,2 0.200601,3 133.1948,4 1}
{0 61.43698,1 233.85,2 0.275873,3 161.2433,4 1}
