@relation auml_eml_1_d

@attribute F4_plsa_topic_1 numeric
@attribute F4_plsa_topic_2 numeric
@attribute F4_plsa_topic_3 numeric
@attribute F4_plsa_topic_4 numeric
@attribute F4_plsa_topic_5 numeric
@attribute F4_plsa_topic_6 numeric
@attribute F4_plsa_topic_7 numeric
@attribute F4_plsa_topic_8 numeric
@attribute F4_plsa_topic_9 numeric
@attribute F4_plsa_topic_10 numeric
@attribute class numeric

@data
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.006139,0.078906,0.548276,0.061857,0.062558,0.042559,0.027735,0.035387,0.098483,0.0381,1
0.029713,0.083778,0.120158,0.049575,0.452801,0.097872,0.043112,0.051165,0.044418,0.027408,0
0.124757,0.160308,0.028448,0.029516,0.15803,0.01055,0.232349,0.095863,0.038569,0.121611,0
0.014602,0.101463,0.039009,0.037681,0.023389,0.03675,0.083948,0.106072,0.025364,0.531722,0
0,0.097162,0.009741,0.721045,0.055388,0.00382,0.028796,0.050978,0.024034,0.009036,0
0.091844,0.114846,0.069944,0.056438,0.035591,0.040343,0.080654,0.052638,0.077007,0.380696,0
0.048998,0.121619,0.060267,0.04433,0.035291,0.015497,0.081439,0.046038,0.166662,0.379858,0
0.073897,0.047305,0.018165,0.031545,0.05977,0.025781,0.075974,0.055807,0.026683,0.585072,0
0.038922,0.028706,0.059628,0.038904,0.274713,0.033978,0.393036,0.053981,0.00762,0.070513,0
0.015122,0.060049,0.03516,0.02716,0.093736,0.035087,0.185502,0.04356,0.066649,0.437977,0
0.013952,0.037475,0.055929,0.218776,0.016233,0.012574,0.06901,0.046077,0.014707,0.515267,0
0.014028,0.057559,0.081604,0.099519,0.461682,0.075833,0.04422,0.051118,0.099979,0.014457,0
0.018243,0.413412,0.038174,0.127652,0.058256,0.022671,0.114625,0.04773,0.077016,0.082222,0
0.067196,0.341188,0.006459,0.309246,0.059929,0.015885,0.060146,0.050609,0.036398,0.052944,0
0.083645,0.078434,0.02453,0.085993,0.093872,0.060115,0.170949,0.133489,0.160955,0.108018,0
0.015622,0.054607,0.031041,0.054851,0.035066,0.013907,0.039469,0.035253,0.031113,0.68907,0
0.018243,0.413412,0.038174,0.127652,0.058256,0.022671,0.114625,0.04773,0.077016,0.082222,0
0.018547,0.427602,0.057841,0.13953,0.014932,0.033666,0.075117,0.052907,0.074898,0.104959,0
0.020359,0.0927,0.089951,0.340036,0.06046,0.074384,0.094372,0.168863,0.044359,0.014515,0
0.000943,0.006885,0.0198,0.442068,0.232449,0.008769,0.033447,0.058713,0.058507,0.138419,0
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.003693,0.061672,0.093106,0.020961,0.10839,0.600932,0.018201,0.013393,0.033052,0.046599,0
0.031154,0.086768,0.09022,0.053391,0.545723,0.036017,0.045231,0.03354,0.054031,0.023926,0
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.019652,0.062253,0.048584,0.061305,0.022143,0.013622,0.043245,0.043365,0.07257,0.613261,0
0.026343,0.156929,0.034583,0.097941,0.013141,0.030734,0.061047,0.043644,0.121063,0.414576,0
0.000943,0.006885,0.0198,0.442068,0.232449,0.008769,0.033447,0.058713,0.058507,0.138419,0
0.182897,0.044782,0.042251,0.030985,0.056053,0.01173,0.316828,0.060922,0.128347,0.125205,0
