,dataset,target_coverage,expected_coverage,coverage,mse_expected,mse_filtered,mse_prop_base,comparison_loss
0,0_kin8nm,0.1,0.11025223759153784,0.1040903540903541,0.015682094794421737,0.022844991651123546,0.5747980698818128,0.020314580538748968
1,0_kin8nm,0.2,0.23270951993490643,0.23504273504273504,0.017759246034259466,0.02255474046955986,0.5674951204436361,0.020314580538748968
2,0_kin8nm,0.30000000000000004,0.3098047192839707,0.30952380952380953,0.018787850759801373,0.023140199216190326,0.5822257258514988,0.020314580538748968
3,0_kin8nm,0.4,0.40439381611065905,0.40964590964590963,0.021360993338335594,0.025794200861196482,0.6490025076647532,0.020314580538748968
4,0_kin8nm,0.5,0.5077298616761595,0.5106837606837606,0.0240894367162192,0.027130974278101665,0.6826367847807453,0.020314580538748968
5,0_kin8nm,0.6,0.6057770545158666,0.608058608058608,0.026123119544749263,0.02974977176861033,0.7485278022056382,0.020314580538748968
6,0_kin8nm,0.7000000000000001,0.7042310821806347,0.7094017094017094,0.028596162169701466,0.03180655825438568,0.8002781779657678,0.020314580538748968
7,0_kin8nm,0.8,0.8665581773799838,0.8711843711843712,0.03347624594585455,0.03542764689692308,0.8913876340070479,0.020314580538748968
8,0_kin8nm,0.9,0.9227013832384052,0.9236874236874237,0.035348337076219385,0.03674187848391402,0.9244547408423858,0.020314580538748968
9,0_kin8nm,1.0,1.0,1.0,0.040084107345812296,0.039744377805271375,1.0,0.020314580538748968
10,10_wind,0.1,0.1211660329531052,0.13427158615443135,4.874640717457726,7.555312420246752,0.7789460470027044,9.878771014556866
11,10_wind,0.2,0.21216730038022813,0.2187143400532522,4.956028896343262,7.16718204359343,0.7389301474873404,9.878771014556866
12,10_wind,0.30000000000000004,0.3064638783269962,0.3058197033092431,5.320668421754909,8.338050350819282,0.8596456372968987,9.878771014556866
13,10_wind,0.4,0.43219264892268694,0.4389501711677444,5.801053845230873,7.800723441745595,0.8042477068751861,9.878771014556866
14,10_wind,0.5,0.5016476552598226,0.5135032331685051,6.1015369183477945,7.814992340178625,0.8057188177189557,9.878771014556866
15,10_wind,0.6,0.6045627376425855,0.607455306200076,6.588220287931653,8.019688598867099,0.8268228214547035,9.878771014556866
16,10_wind,0.7000000000000001,0.7594423320659062,0.7599847850893876,7.525219832097291,8.58703159012078,0.8853153834760252,9.878771014556866
17,10_wind,0.8,0.8126742712294043,0.8204640547736782,7.822434445065647,8.975033207823396,0.9253180080571324,9.878771014556866
18,10_wind,0.9,0.9690747782002535,0.9726131608976797,9.40621642874353,9.70840161617134,1.0009276441521862,9.878771014556866
19,10_wind,1.0,1.0,1.0,10.138430007809335,9.6994040207518,1.0,9.878771014556866
20,11_analcatdata_supreme,0.1,0.2767269736842105,0.25679012345679014,1.906581716681723e-05,1.6565202398111727e-05,0.0032413497636869467,0.007271740757631782
21,11_analcatdata_supreme,0.2,0.2767269736842105,0.25679012345679014,1.906581716681723e-05,1.6565202398111727e-05,0.0032413497636869467,0.007271740757631782
22,11_analcatdata_supreme,0.30000000000000004,0.6439144736842105,0.6401234567901235,3.255566814371747e-05,3.12976270022862e-05,0.006124075845845778,0.007271740757631782
23,11_analcatdata_supreme,0.4,0.6439144736842105,0.6401234567901235,3.255566814371747e-05,3.12976270022862e-05,0.006124075845845778,0.007271740757631782
24,11_analcatdata_supreme,0.5,0.6439144736842105,0.6401234567901235,3.255566814371747e-05,3.12976270022862e-05,0.006124075845845778,0.007271740757631782
25,11_analcatdata_supreme,0.6,0.6439144736842105,0.6401234567901235,3.255566814371747e-05,3.12976270022862e-05,0.006124075845845778,0.007271740757631782
26,11_analcatdata_supreme,0.7000000000000001,0.7310855263157895,0.7327160493827161,0.000114254317513131,0.00011734428673033172,0.02296101592496876,0.007271740757631782
27,11_analcatdata_supreme,0.8,0.8260690789473685,0.8382716049382716,0.0002730864238473153,0.000291674737328121,0.05707264047795311,0.007271740757631782
28,11_analcatdata_supreme,0.9,0.9609375,0.9537037037037037,0.0024727476473911294,0.0013743053817918424,0.2689133713821975,0.007271740757631782
29,11_analcatdata_supreme,1.0,1.0,1.0,0.006200112195966878,0.005110587750724335,1.0,0.007271740757631782
30,12_space_ga,0.1,0.12546916890080428,0.1529790660225443,4718841957741.561,4944530571250.08,0.46801381227260924,10160539402180.172
31,12_space_ga,0.2,0.5946380697050938,0.5893719806763285,8523012506395.561,7688075210609.16,0.7276980769978444,10160539402180.172
32,12_space_ga,0.30000000000000004,0.5946380697050938,0.5893719806763285,8523012506395.561,7688075210609.16,0.7276980769978444,10160539402180.172
33,12_space_ga,0.4,0.5946380697050938,0.5893719806763285,8523012506395.561,7688075210609.16,0.7276980769978444,10160539402180.172
34,12_space_ga,0.5,0.5946380697050938,0.5893719806763285,8523012506395.561,7688075210609.16,0.7276980769978444,10160539402180.172
35,12_space_ga,0.6,0.7131367292225201,0.7069243156199678,9245569551161.395,8791664760750.17,0.8321559512293969,10160539402180.172
36,12_space_ga,0.7000000000000001,0.7131367292225201,0.7069243156199678,9245569551161.395,8791664760750.17,0.8321559512293969,10160539402180.172
37,12_space_ga,0.8,0.8198391420911528,0.8180354267310789,10468239176182.791,9408505488165.988,0.8905416718236777,10160539402180.172
38,12_space_ga,0.9,0.9002680965147453,0.8969404186795491,11269021063529.193,10118044131681.13,0.957701512524653,10160539402180.172
39,12_space_ga,1.0,1.0,1.0,12678355848112.19,10564924456481.605,1.0,10160539402180.172
40,13_balloon,0.1,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
41,13_balloon,0.2,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
42,13_balloon,0.30000000000000004,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
43,13_balloon,0.4,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
44,13_balloon,0.5,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
45,13_balloon,0.6,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
46,13_balloon,0.7000000000000001,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
47,13_balloon,0.8,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
48,13_balloon,0.9,0.9500416319733556,0.96125,5.014296251827391e-06,5.936307408598967e-06,0.3128777552643961,9.750066224999951e-05
49,13_balloon,1.0,1.0,1.0,2.7459279369535486e-05,1.8973248525074956e-05,1.0,9.750066224999951e-05
50,14_pm10,0.1,0.1760797342192691,0.16080402010050251,15514.376182733513,46005.832034062536,0.8165872299536738,39029.14622864322
51,14_pm10,0.2,0.20930232558139536,0.18592964824120603,15886.18210489631,48005.238886659245,0.8520759936848352,39029.14622864322
52,14_pm10,0.30000000000000004,0.3853820598006645,0.3969849246231156,20459.923535035,57500.26684859904,1.0206093782355683,39029.14622864322
53,14_pm10,0.4,0.46179401993355484,0.48743718592964824,23583.52787387097,57715.40077889966,1.0244279293288983,39029.14622864322
54,14_pm10,0.5,0.7840531561461794,0.7788944723618091,33711.387853245746,52426.46090776144,0.9305511191982475,39029.14622864322
55,14_pm10,0.6,0.7840531561461794,0.7788944723618091,33711.387853245746,52426.46090776144,0.9305511191982475,39029.14622864322
56,14_pm10,0.7000000000000001,0.7840531561461794,0.7788944723618091,33711.387853245746,52426.46090776144,0.9305511191982475,39029.14622864322
57,14_pm10,0.8,0.8571428571428571,0.8341708542713567,35144.78411281446,51586.08278224768,0.9156347050114798,39029.14622864322
58,14_pm10,0.9,0.9036544850498339,0.8793969849246231,36028.38020671009,51150.02481017834,0.9078948303962859,39029.14622864322
59,14_pm10,1.0,1.0,1.0,42446.339098124285,56339.15195645726,1.0,39029.14622864322
60,15_pollen,0.1,0.9008228670420095,0.9038336582196231,1258713.053896938,1219478.8332631737,0.9993832359482926,1320404.0909948668
61,15_pollen,0.2,0.9008228670420095,0.9038336582196231,1258713.053896938,1219478.8332631737,0.9993832359482926,1320404.0909948668
62,15_pollen,0.30000000000000004,0.9008228670420095,0.9038336582196231,1258713.053896938,1219478.8332631737,0.9993832359482926,1320404.0909948668
63,15_pollen,0.4,0.9008228670420095,0.9038336582196231,1258713.053896938,1219478.8332631737,0.9993832359482926,1320404.0909948668
64,15_pollen,0.5,0.9008228670420095,0.9038336582196231,1258713.053896938,1219478.8332631737,0.9993832359482926,1320404.0909948668
65,15_pollen,0.6,0.9008228670420095,0.9038336582196231,1258713.053896938,1219478.8332631737,0.9993832359482926,1320404.0909948668
66,15_pollen,0.7000000000000001,0.9008228670420095,0.9038336582196231,1258713.053896938,1219478.8332631737,0.9993832359482926,1320404.0909948668
67,15_pollen,0.8,0.9008228670420095,0.9038336582196231,1258713.053896938,1219478.8332631737,0.9993832359482926,1320404.0909948668
